Class Name,Class Code,Department,Units,Class Description,Class URL
Human Neuropsychology,PSYCH 162N,Psychology,4 Units,"A survey of human brain disorders using a clinical case study approach to illustrate fundamental issues in studying brain and behavior. Topics include sensory deficits, attentional neglect, amnesia, cortical organization, clinical psychopathology, and more. Prerequisite: BIO SCI N110 or BIO SCI N115A or PSYCH 9A or PSCI 11A Same as BIO SCI N173, PSCI 163C. Restriction: School of Biological Sciences students have first consideration for enrollment. Cognitive Sciences Majors have first consideration for enrollment. Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Psychology Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/psych/
Special Topics in Cognitive Neuroscience,PSYCH 169,Psychology,4 Units,Studies in selected areas of cognitive neuroscience. Topics addressed vary each quarter. Prerequisite: Prerequisites vary. Repeatability: Unlimited as topics vary. Restriction: Psychology Majors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/psych/
Psychological Anthropology,PSYCH 173A,Psychology,4 Units,"Cultural differences and similarities in personality and behavior. Child-rearing practices and consequent adult personality characteristics, biocultural aspects of child development and attachment, culture and behavior evolutionary models, politically linked personality, cognitive anthropology, psychology of narrative forms, comparative national character studies. Prerequisite: ANTHRO 2A or PSYCH 7A or (PSYCH 9A and PSYCH 9B and PSYCH 9C) or (PSY BEH 11A and PSY BEH 11B and PSY BEH 11C) Same as ANTHRO 132A. Restriction: Psychology Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/psych/
African American Psychology,PSYCH 174E,Psychology,4 Units,"Historical overview of the development of black psychology and the African American frame of reference. Topics include personality development, psychological assessment, issues in education, black mental health, and the role of the African American psychologist in the community. Same as AFAM 153.",https://catalogue.uci.edu/allcourses/psych/
Chicano/Latino Families,PSYCH 174H,Psychology,4 Units,"Introduction to the research, literature, and issues surrounding the topic of Chicano/Latino families including cultural history, contemporary issues, organization of family, traditions, lifestyles, values, beliefs, generational differences, gender issues, ethnic identity, evolution of demographic patterns, current economic and political standings. Same as CHC/LAT 170, PSCI 166S, SOC SCI 165.",https://catalogue.uci.edu/allcourses/psych/
Political Psychology,PSYCH 176A,Psychology,4 Units,"Examination of how psychological theory and research may be used to better understand political thought and behavior. Drawing on theories of learning, cognition, and personality, discusses such topics as the formation of political attitudes, and the process of political decision-making. Same as POL SCI 128C. Restriction: Majors only. POL SCI 128C may not be taken for credit if taken after POL SCI 137C.",https://catalogue.uci.edu/allcourses/psych/
Deviance,PSYCH 177D,Psychology,4 Units,"Perspectives on deviance and criminality in behavior, institution, community, and myth. The suitability of contemporary theories of deviant behavior. Same as SOCIOL 156, CRM/LAW C107. Restriction: Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment. Sociology Majors have first consideration for enrollment. Psychology Majors have first consideration for enrollment. 2930",https://catalogue.uci.edu/allcourses/psych/
Forensic Psychology: Advanced Seminar,PSYCH 177F,Psychology,4 Units,"Focuses on the psychology of criminal offending, particularly violent behavior. Examines violence, sexual offending, and mental disorder related to crime with regard to clinical assessment and treatment; mental health services within forensic institutions. Prerequisite: (PSCI 9 or PSCI 11C or PSYCH 7A or PSYCH 9C) and PSCI 102C and (PSCI 178S or CRM/LAW C149) Same as CRM/LAW C136, PSCI 156C. Restriction: Psychological Science Majors have first consideration for enrollment. Criminology, Law and Society Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Psychology Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/psych/
Social Psychology of Networks,PSYCH 178N,Psychology,4 Units,"Review of network methods used in small group and organizational research. Discussion of social psychological literature relevant to the network of study of cognitive social structure, exchange/communication, identity negotiation, and social control. Case study of network datasets exemplifies research issues. Same as SOCIOL 135. Restriction: Psychology Majors have first consideration for enrollment. Sociology Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/psych/
Special Topics in Interdisciplinary Studies,PSYCH 179,Psychology,1-4 Units,Studies in selected areas of interdisciplinary studies. Topics addressed vary each quarter. Prerequisite: Prerequisites vary. Repeatability: Unlimited as topics vary. Restriction: Psychology Majors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/psych/
Directed Group Study,PSYCH 198,Psychology,1-4 Units,Directed study with Cognitive Sciences faculty. Repeatability: May be repeated for credit unlimited times.,https://catalogue.uci.edu/allcourses/psych/
Independent Study,PSYCH 199,Psychology,1-4 Units,Independent research with Cognitive Sciences faculty.,https://catalogue.uci.edu/allcourses/psych/
Topics in Philosophy of Psychology,PSYCH 231P,Psychology,4 Units,"Selected topics in the philosophy of psychology, e.g., the nature of psychological explanation, reductionism, issues in cognitive, behavioral, and neuroscience. Repeatability: Unlimited as topics vary. Same as LPS 243, PHILOS 243.",https://catalogue.uci.edu/allcourses/psych/
Computational Models of Language Learning,PSYCH 245M,Psychology,4 Units,"Focuses on computational models of native language learning, exploring how probabilistic learning and inference fare on difficult case studies within language acquisition. In all cases, grounds the learning models in available empirical data and considers their psychological plausibility. Prerequisite: LSCI 251. LSCI 251 with a grade of B- or better Same as LSCI 206C. Restriction: Graduate students only. Concurrent with LSCI 106M.",https://catalogue.uci.edu/allcourses/psych/
Principles of Public Health,PUBHLTH 1,Public Health,4 Units,Introduces the major concepts and principles of public health and the determinants of health status in communities. Emphasizes the ecological model that focuses on the linkages and relationships among multiple natural and social determinants affecting health. Restriction: Nursing Science Majors have first consideration for enrollment. Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment. (III),https://catalogue.uci.edu/allcourses/pubhlth/
Case Studies in Public Health Practice,PUBHLTH 2,Public Health,4 Units,Presents case studies in various themes of public health practice to demonstrate how the principles of public health were established and continue to evolve. Prerequisite: PUBHLTH 1 Restriction: Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment. (II),https://catalogue.uci.edu/allcourses/pubhlth/
Public Health Statistics I,PUBHLTH 7A,Public Health,4 Units,"Introduces the development and application of statistical reasoning and methods in addressing, analyzing, and solving problems in public health, health care, and biomedical, clinical, and population-based research and practice. Overlaps with SOCECOL 13, STATS 7, STATS 8, MGMT 7. Restriction: Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment. (Va)",https://catalogue.uci.edu/allcourses/pubhlth/
Public Health Statistics II,PUBHLTH 7B,Public Health,4 Units,"Introduces the development and application of statistical reasoning and methods in addressing, analyzing, and solving problems in public health, health care, and biomedical, clinical, and population-based research and practice. Prerequisite: PUBHLTH 7A Restriction: Public Health Majors only. Public Health Sciences Majors only. Public Health Policy Majors only. (Va)",https://catalogue.uci.edu/allcourses/pubhlth/
Special Topics in Public Health,PUBHLTH 10,Public Health,2-4 Units,Introduction to emerging topics in public health. Topics addressed vary each quarter. Repeatability: Unlimited as topics vary.,https://catalogue.uci.edu/allcourses/pubhlth/
Introduction to Urban Environmental Health,PUBHLTH 30,Public Health,4 Units,"Study of natural and physical components of earth's environmental problems due to human activities. Topics include global air, water, soil, biodiversity, rainforests, energy, demographics, agriculture, and urbanization. Theme is sustainability. Integrated into the science are social, legal, and economic considerations. (II)",https://catalogue.uci.edu/allcourses/pubhlth/
Environmental Quality and Health,PUBHLTH 60,Public Health,4 Units,"Overviews how pollution in the environment affects human health. Topics are toxicology, epidemiology, risk assessment, water, food, air, radiation, pesticides, solid and hazardous waste. Included are interdisciplinary elements of environmental regulations, education, and consumer protection. (II) 2932",https://catalogue.uci.edu/allcourses/pubhlth/
AIDS Fundamentals,PUBHLTH 80,Public Health,4 Units,"Considers the biological and sociological bases of the AIDS epidemic. Topics include the history of AIDS, current medical knowledge, transmission, risk reduction, and how the community can respond. Same as BIO SCI 45. (II)",https://catalogue.uci.edu/allcourses/pubhlth/
Natural Disasters,PUBHLTH 90,Public Health,4 Units,"Natural disasters are natural Earth processes that adversely affect humans. Topics include tectonics, earthquakes, tsunami, volcanoes, landslides, severe weather, flooding, coastal processes, wildfire, related topics, and use of GIS for hazard and risk assessment. Overlaps with EARTHSS 17. (II)",https://catalogue.uci.edu/allcourses/pubhlth/
Disparities in Health Care,PUBHLTH 91,Public Health,2-8 Units,"Student participatory course practicing initiation, planning, and coordination of various speakers on the subject of Disparities in Health Care. Grading Option: Pass/no pass only. Repeatability: May be taken for credit for 8 units.",https://catalogue.uci.edu/allcourses/pubhlth/
Special Topics in Public Health,PUBHLTH 100,Public Health,4 Units,Studies in selected areas of public health. Topics addressed vary each quarter. Course may be offered online when topic is Public Health in the Corporate World. Prerequisite: PUBHLTH 1 Repeatability: Unlimited as topics vary.,https://catalogue.uci.edu/allcourses/pubhlth/
Introduction to Epidemiology,PUBHLTH 101,Public Health,4 Units,"The distribution of disease and injury across time, space, and populations. Covers basic concepts and methods of descriptive epidemiology including the natural history of disease, data, and indices of health. Prerequisite: STATS 7 or STATS 8 or PUBHLTH 7 or PUBHLTH 7A Restriction: Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/pubhlth/
Social Epidemiology,PUBHLTH 102,Public Health,4 Units,"Overviews evidence linking environmental factors to mental and physical disorders including such variables as socioeconomic status, income inequality, work stress, job loss, social capital, location, and other demographic characteristics. Measurement and research design issues of both individual and aggregate levels. Prerequisite: Recommended: (PSCI 9 or PSCI 11C or PSYCH 7A or PSYCH 9C) and SOCECOL 10 and SOCECOL 13. Same as PSCI 183S. Restriction: Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/pubhlth/
Introduction to Health Informatics,PUBHLTH 105,Public Health,4 Units,"Broad overview of medical informatics for students with varied backgrounds. Electronic medical records, online resources, mobile technologies, patient safety, and computational design. Legal, ethical, and public policy issues. Health systems management. Evaluation and fieldwork for health systems. Prerequisite: WRITING 60 or WRITING 30 or WRITING 31 or HUMAN 1C or HUMAN H1C. WRITING 60 with a grade of C or better. WRITING 30 with a grade of C or better. WRITING 31 with a grade of C or better. HUMAN 1C with a grade of C or better. HUMAN H1C with a grade of C or better Same as IN4MATX 171. Restriction: Upper-division students only. Satisfactory completion of the Lower-Division Writing requirement. 2933",https://catalogue.uci.edu/allcourses/pubhlth/
Project in Health Informatics,PUBHLTH 106,Public Health,4 Units,"Students undertake significant quarter-long projects related to health informatics. Topics may include field evaluations of health care technologies, prototypes, iterative design, and system implementations. Prerequisite: PUBHLTH 105 or IN4MATX 171 Same as IN4MATX 172.",https://catalogue.uci.edu/allcourses/pubhlth/
Epidemiology of Drug Use and Misuse,PUBHLTH 107,Public Health,4 Units,"Applies epidemiologic concepts to the use and misuse of licit/illicit substances. Emphasizes descriptive aspects of drug use and determinants of progressing from experimental use to misuse. Assesses subgroups of abusers, risk factors, trends, and surveillance techniques for estimating drug prevalence. Prerequisite: PUBHLTH 101 Restriction: Upper-division students only. Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/pubhlth/
"Community, Social Justice, and Health Equity Research for Action",PUBHLTH 115,Public Health,4 Units,"Focuses on community as a unit of identity, community, well-being, and social justice perspectives and initiatives to promote community health. Addresses community change and improvements in community well-being, with a focus on health equity research for action. Prerequisite: PUBHLTH 1 or PUBHLTH 2 or CHC/LAT 61 or CHC/LAT 62 or CHC/LAT 63 Same as CHC/LAT 152B.",https://catalogue.uci.edu/allcourses/pubhlth/
Special Topics in Epidemiology and Genetics,PUBHLTH 119,Public Health,4 Units,Studies in selected areas of epidemiology and genetics. Topics addressed vary each quarter. Prerequisite: PUBHLTH 1 Repeatability: Unlimited as topics vary.,https://catalogue.uci.edu/allcourses/pubhlth/
Nutrition and Global Health,PUBHLTH 120,Public Health,4 Units,"Global issues related to nutrition and public health. Evaluation of nutritional risk factors associated with the development of chronic diseases and the role of nutritional medicine in prevention. Topics include food safety, communicable diseases, supplements, and regulatory issues. Restriction: Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/pubhlth/
Health Policy,PUBHLTH 122,Public Health,4 Units,"Considers social and economic aspects of health and disease in the United States. What are the proper roles of the individual, community, and government in improving health and health care? International comparisons will be made wherever possible. Same as UPPP 170. Restriction: Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/pubhlth/
Foundations of Community Health,PUBHLTH 125,Public Health,4 Units,"A social ecological framework for understanding community health is presented. Measures of individual and community health are compared, and the influence of personal and environmental factors on individual, group, and population health is examined. Community health promotion strategies are discussed. Same as UPPP 112. Restriction: Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/pubhlth/
Public Health Law: Fundamentals in Action,PUBHLTH 126,Public Health,4 Units,"Addresses the relationship of U.S. public health law to health systems at the individual and population levels. Examines legislative and judicial concepts and how they are applied to disease prevention strategies, health services, management, and policy.",https://catalogue.uci.edu/allcourses/pubhlth/
Public Health Programs for the Corporate World,PUBHLTH 127,Public Health,4 Units,"International perspective on workplace health promotion. Strategies for developing programs to improve employee health and to decrease risks of chronic degenerative diseases. Case studies include assessment of employee health, program design, implementation, and evaluation. Emphasis on disease prevention. 2934",https://catalogue.uci.edu/allcourses/pubhlth/
Public Health Administration,PUBHLTH 129,Public Health,4 Units,"Examines historical aspects of public health administration including policies, procedures, trends, and development of organizations. Addresses information and skills necessary to succeed in public health leadership roles. Discusses strategic planning, collaborations, and ethical considerations for successful management in public health. Prerequisite: PUBHLTH 1 Restriction: Upper-division students only. Public Health Policy Majors have first consideration for enrollment. Public Health Sciences Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/pubhlth/
American Public Policy,PUBHLTH 132,Public Health,4 Units,"Focuses on the development and implementation of public policy in the United States. Lectures cover theoretical models of the policy process as well as significant problems facing contemporary American decision-makers. Same as POL SCI 121G, SOC SCI 152C, UPPP 129.",https://catalogue.uci.edu/allcourses/pubhlth/
Medical Sociology,PUBHLTH 135,Public Health,4 Units,Current problems in U.S. health-care system and proposals for reform. Examines financial barriers to access; problem of patient dumping; underinsurance; prenatal and perinatal care; child services; preventative care and needs of the elderly; minorities; low-income people; undocumented. Same as SOCIOL 154. Restriction: Upper-division students only. Sociology Majors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/pubhlth/
Tobacco Control Policy,PUBHLTH 138,Public Health,4 Units,"Examines the challenges that governments encounter in regulating the marketing, sales and acquisition, and use of tobacco products. Students assess the supply and demand for tobacco from the perspectives of the industry and consumer. Restriction: Public Health Majors only. Public Health Sciences Majors only. Public Health Policy Majors only.",https://catalogue.uci.edu/allcourses/pubhlth/
Special Topics in Health Policy and Administration,PUBHLTH 139,Public Health,4 Units,Studies in selected areas of health policy and administration. Topics addressed vary each quarter. Prerequisite: PUBHLTH 1 Repeatability: Unlimited as topics vary. Restriction: Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/pubhlth/
Clinical Health Psychology,PUBHLTH 141,Public Health,4 Units,"Behavioral role in etiology, treatment, and prevention of certain diseases. Behavioral intervention including biofeedback, stress-, pain-management, health habit counseling, and other skills to assist patients make cognitive, emotional, and behavioral changes needed to cope with disease or achieve better health. Prerequisite: Recommended: PSCI 9 or PSCI 11C or PSYCH 7A or PSYCH 9C. Same as PSCI 141H. Restriction: Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/pubhlth/
Health Behavior Theory,PUBHLTH 144,Public Health,4 Units,"Introduces theoretical perspectives from the social sciences to understand health behavior from the vantage point of individuals, their interpersonal contacts, communities, and ecological contexts. Application of theory to public health problems is a central focus. Restriction: Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/pubhlth/
Health Promotion Programs,PUBHLTH 146,Public Health,4 Units,Examines ecological perspectives of health promotion programs and risk factors related to mortality/morbidity. Analyzes effectiveness of health promotion strategies and issues in the existing healthcare systems in light of sociocultural beliefs and economical/political conditions. Prerequisite: PUBHLTH 1 Restriction: Upper-division students only. Public Health Policy Majors have first consideration for enrollment. Public Health Sciences Majors have first consideration for enrollment. 2935,https://catalogue.uci.edu/allcourses/pubhlth/
Drug Abuse and its Prevention,PUBHLTH 147,Public Health,4 Units,Theoretical and practical underpinnings of drug abuse and its prevention at the individual and population levels. Students practice developing drug abuse prevention schemes for specific populations. Recent developments in pharmacological and biobehavioral theories of drug dependence are explored. Restriction: Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/pubhlth/
Public Health Communication,PUBHLTH 148,Public Health,4 Units,"Theoretical underpinnings and practical applications of communication sciences in public health practice. Techniques of effective communication, including fear appeal and deterrence; social marketing; public-private partnerships; health service delivery; and outreach in rural and urban settings, and for international health strategies. Prerequisite: PUBHLTH 1 and PUBHLTH 2 Restriction: Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/pubhlth/
Public Health and Wellness,PUBHLTH 150,Public Health,4 Units,"Presents information about wellness from both science and policy perspectives in order to demonstrate the role of wellness in public health. Emphasizes the conditions that create wellness in the individual, the community, the nation, and the world. Restriction: Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/pubhlth/
Special Topics in Social and Behavioral Health Science,PUBHLTH 159,Public Health,4 Units,Studies in selected areas of social and behavioral health sciences. Topics addressed vary each quarter. Prerequisite: PUBHLTH 1 Repeatability: Unlimited as topics vary.,https://catalogue.uci.edu/allcourses/pubhlth/
Environmental Geology,PUBHLTH 161,Public Health,4 Units,"Introduction to geologic principles and applications to environmental problems. Topics include: tectonic processes, earth materials, soils, river processes, groundwater, the coastal environment, slope failures, seismic hazards, mineral resources, and land-use evaluation based on geologic conditions. Examples from case studies. Restriction: Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/pubhlth/
Introduction to Environmental Health Science,PUBHLTH 163,Public Health,4 Units,"Focuses on processes of exposure to environmental toxins/agents and their impact to human health and the environment. Media transport, exposure assessment, susceptibility, behavior, and health effect of several toxins are discussed. Restriction: Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/pubhlth/
"Air Pollution, Climate, and Health",PUBHLTH 167,Public Health,4 Units,"Introduction to how air pollutants are emitted into the atmosphere, how people are most exposed to air pollutants in developed and developing areas, physical and meteorological processes that affect transport, and the influence of air pollutants on global warming. Restriction: Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/pubhlth/
Nuclear Environments,PUBHLTH 168,Public Health,4 Units,"Understanding the impact of the nuclear age on the environment and human health through interrelated developments of nuclear power and nuclear weapons. The early years of weapon development, catastrophic environmental pollution, perils of nuclear power in the U.S. and Russia. Same as INTL ST 122, SOCECOL E127. (VIII)",https://catalogue.uci.edu/allcourses/pubhlth/
Introduction to Global Health,PUBHLTH 170,Public Health,4 Units,"Provides a foundational interdisciplinary understanding of global health issues and their importance to various societal goals, including poverty reduction, economic productivity, and peace promotion. Covers major communicable and non-communicable diseases and demographic patterns of disease burden. Prerequisite: PUBHLTH 1 (VIII) 2936",https://catalogue.uci.edu/allcourses/pubhlth/
Human Exposure to Environmental Contaminants,PUBHLTH 171,Public Health,4 Units,"Introduces origins of human's realization that chemicals in the environment may adversely affect health. Introduces the theory and principles of exposure assessment. Covers estimation of exposure, variability of measures, the way exposure assessment is incorporated into the risk-assessment paradigm.",https://catalogue.uci.edu/allcourses/pubhlth/
Climate Change and Disaster Management,PUBHLTH 172,Public Health,4 Units,"Examines the social, economic, environmental, and health impacts of anthropogenic climate change through engaged learning that integrates practice and theory.",https://catalogue.uci.edu/allcourses/pubhlth/
Health and Global Environmental Change,PUBHLTH 173,Public Health,4 Units,"Overview of scientific underpinnings of global environmental change and human health consequences. Provides an understanding of the fundamental dependency of human health on global environmental integrity. Encourages disciplinary cross-fertilization through interaction of students in environmental, health, and policy sciences. Prerequisite: One upper-division course in environmental science, public health, environmental policy, and/or environmental management. Restriction: Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/pubhlth/
Global Health Ethics,PUBHLTH 174,Public Health,4 Units,Provides a foundation for understanding and application of key issues. (VIII),https://catalogue.uci.edu/allcourses/pubhlth/
War and Public Health,PUBHLTH 176,Public Health,4 Units,"Explores how war impacts public health both globally and domestically in the United States. Focus on the link between war and the burden that it ultimately places on physical, mental, environmental, and societal health as well as on health systems.",https://catalogue.uci.edu/allcourses/pubhlth/
Global Health Policy and Diplomacy,PUBHLTH 177,Public Health,4 Units,"Fundamental principles and consequences of global health policy and diplomacy, including governance structure, functions, analysis, advocacy, and outcomes. Emphasizes practical application of multilateral policies for global health security and responses to transnational threats such as pandemics, climate, pollution, and migration.",https://catalogue.uci.edu/allcourses/pubhlth/
Special Topics in Environmental and Global Health Science,PUBHLTH 179,Public Health,4 Units,Studies in selected areas of environmental and global health sciences. Topics addressed vary each quarter. Prerequisite: PUBHLTH 1 Repeatability: Unlimited as topics vary.,https://catalogue.uci.edu/allcourses/pubhlth/
Epidemiology of Infectious Disease,PUBHLTH 180,Public Health,4 Units,"Examines the distribution of infectious disease and the health and disease risk among human populations. Introduces basic methods for infectious disease epidemiology. Case studies of important diseases, including HIV and malaria, are conducted. Prerequisite: PUBHLTH 1",https://catalogue.uci.edu/allcourses/pubhlth/
Infectious Disease Dynamics,PUBHLTH 181,Public Health,4 Units,"Learn how the immune system interacts with infectious diseases, in particular with viral infections. An introduction to basic virology and immunology, it concentrates on the way in which the immune system is critical to the prevention of infections. Same as BIO SCI E124.",https://catalogue.uci.edu/allcourses/pubhlth/
Evolutionary and Ecological Principles in Medicine,PUBHLTH 182,Public Health,4 Units,"Explore the dynamics of populations on an ecological, epidemiological, and medical level. Considers the dynamics of competition, predation, and parasitism; the spread and control of infectious diseases; and the in vivo dynamics of viral infections and the immune system. Prerequisite: BIO SCI 93 or BIO SCI H93 Same as BIO SCI E151. Concurrent with ECO EVO 251. 2937",https://catalogue.uci.edu/allcourses/pubhlth/
Special Topics in Infectious Diseases,PUBHLTH 189,Public Health,4 Units,Studies in selected areas of infectious diseases. Topics addressed vary each quarter. Prerequisite: PUBHLTH 1 Repeatability: Unlimited as topics vary. Restriction: Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/pubhlth/
Geographic Information Systems for Public Health,PUBHLTH 190,Public Health,4 Units,Provides a broad introduction to the use of Geographic Information Systems software to carry out projects for visualizing and analyzing spatial data to address significant issues of health care and policy-planning. Concurrent with PUBHLTH 283.,https://catalogue.uci.edu/allcourses/pubhlth/
Seminar: Advances and Challenges in Public Health,PUBHLTH 191A,Public Health,2 Units,Forum for exploring recent advances and challenges in all disciplines of public health research and practice. Features case studies exemplifying the integration of core competencies with cross-cutting interdisciplinary themes of public health. Grading Option: Pass/no pass only. Concurrent with PUBHLTH 291A.,https://catalogue.uci.edu/allcourses/pubhlth/
Seminar: Advances and Challenges in Public Health,PUBHLTH 191B,Public Health,2 Units,Forum for exploring recent advances and challenges in all disciplines of public health research and practice. Features case studies exemplifying the integration of core competencies with cross-cutting interdisciplinary themes of public health. Grading Option: Pass/no pass only. Concurrent with PUBHLTH 291B.,https://catalogue.uci.edu/allcourses/pubhlth/
Seminar: Advances and Challenges in Public Health,PUBHLTH 191C,Public Health,2 Units,Forum for exploring recent advances and challenges in all disciplines of public health research and practice. Features case studies exemplifying the integration of core competencies with cross-cutting interdisciplinary themes of public health. Grading Option: Pass/no pass only. Repeatability: May be repeated for credit unlimited times. Concurrent with PUBHLTH 291C.,https://catalogue.uci.edu/allcourses/pubhlth/
Public Health Honors Seminar and Thesis I,PUBHLTH H192A,Public Health,4 Units,"Provides an opportunity for selected students to pursue advanced work in research and earn Public Health Honors. Students will conduct their honors research project with faculty through lectures, guest speakers, creating timelines and assignments. Corequisite: PUBHLTH 199 Repeatability: May be repeated for credit unlimited times. Restriction: Graduate students only. Public Health Policy Majors only. Public Health Sciences Majors only.",https://catalogue.uci.edu/allcourses/pubhlth/
Public Health Honors Seminar and Thesis II,PUBHLTH H192B,Public Health,4 Units,"Students initiate and complete data collection for the honors thesis. In addition, students begin data analysis and summarize results at a class symposium at the end of the quarter. A faculty mentor provides supervision and feedback on thesis chapters. Corequisite: PUBHLTH 199 Prerequisite: PUBHLTH H192A Grading Option: Pass/no pass only. Restriction: Public Health Policy Majors only. Public Health Sciences Majors only. 2938",https://catalogue.uci.edu/allcourses/pubhlth/
Public Health Honors Seminar and Thesis III,PUBHLTH H192C,Public Health,4 Units,Students write their honors research project (PUBHLTH H192A-PUBHLTH H192B) and prepare an oral report to be presented at a class symposium at the end of the quarter. A faculty mentor provides supervision and feedback on thesis chapters. Corequisite: PUBHLTH 199 Prerequisite: PUBHLTH H192B Restriction: Public Health Policy Majors only. Public Health Sciences Majors only.,https://catalogue.uci.edu/allcourses/pubhlth/
Ethics and Responsible Conduct of Research in Public Health,PUBHLTH 193,Public Health,4 Units,"Issues of scientific integrity and satisfies the requirements for training in public health ethics. Includes guidelines for responsible conduct of research, federal and international codes, administrative review and approval, conflict of interest, and privacy and safety of research participants. Course may be offered online. Restriction: Upper-division students only. Public Health Sciences Majors only. Public Health Policy Majors only.",https://catalogue.uci.edu/allcourses/pubhlth/
Clinical and Translational Research Preparatory I,PUBHLTH 194A,Public Health,4 Units,"Provides training for students with an interest in clinical and translational research in the health care setting. Cultivates skills for study design, research literature review, ethics, responsible conduct of research, and cultural competence while emphasizing professionalism and personal responsibility. Prerequisite: BIO SCI 99 and BIO SCI 194S and CHEM 1C and CHEM 1LC and CHEM 1LD. Satisfactory completion of the Lower-Division Writing requirement. Restriction: Upper-division students only.",https://catalogue.uci.edu/allcourses/pubhlth/
Clinical and Translational Research Preparatory II,PUBHLTH 194B,Public Health,1-4 Units,Provides opportunities for students to participate in clinical and translational research through rotations in at least two health care settings. Builds on preparation through the first course (194A) in the sequence to support exploration of various research topics. Prerequisite: PUBHLTH 194A. Satisfactory completion of the Lower-Division Writing requirement. Restriction: Upper-division students only.,https://catalogue.uci.edu/allcourses/pubhlth/
Clinical and Translational Research Preparatory III,PUBHLTH 194C,Public Health,4 Units,Provides opportunities for students to work closely in a particular clinical and translational research setting. Builds on preparation through the didactic instruction presented in first course of the sequence (194A) to support deeper engagement on a particular research topic. Prerequisite: PUBHLTH 194B. Satisfactory completion of the Lower-Division Writing requirement. Repeatability: May be repeated for credit unlimited times. Restriction: Upper-division students only.,https://catalogue.uci.edu/allcourses/pubhlth/
